Year,GeoCode,Value
2006,0400000US08,33.5
2007,0400000US08,35.9
2008,0400000US08,33.6
2009,0400000US08,35.5
2010,0400000US08,36.6
2011,0400000US08,36.9
2012,0400000US08,35.6
2013,0400000US08,35.4
2014,0400000US08,38.8
2015,0400000US08,37.0
2016,0400000US08,38.4
2017,0400000US08,0.0
2000,0400000US44,0.0
2001,0400000US44,0.0
2002,0400000US44,0.0
2003,0400000US44,0.0
2004,0400000US44,0.0
2005,0400000US44,41.3
2006,0400000US44,41.1
2007,0400000US44,37.1
2008,0400000US44,35.3
2009,0400000US44,38.4
2010,0400000US44,42.8
2011,0400000US44,40.6
2012,0400000US44,42.0
2013,0400000US44,39.1
2014,0400000US44,39.8
2015,0400000US44,42.5
2016,0400000US44,38.3
2017,0400000US44,0.0
2000,0400000US13,0.0
2001,0400000US13,0.0
2002,0400000US13,0.0
2003,0400000US13,0.0
2004,0400000US13,0.0
2005,0400000US13,34.7
2006,0400000US13,34.9
2007,0400000US13,35.1
2008,0400000US13,37.2
2009,0400000US13,37.0
2010,0400000US13,37.2
2011,0400000US13,36.5
2012,0400000US13,38.2
2013,0400000US13,37.3
2014,0400000US13,38.8
2015,0400000US13,38.9
2016,0400000US13,39.4
2017,0400000US13,0.0
2000,0400000US20,0.0
2001,0400000US20,0.0
2002,0400000US20,0.0
2003,0400000US20,0.0
2004,0400000US20,0.0
2005,0400000US20,34.3
2006,0400000US20,31.3
2007,0400000US20,29.9
2008,0400000US20,33.0
2009,0400000US20,34.0
2010,0400000US20,33.4
2011,0400000US20,31.2
2012,0400000US20,32.3
2013,0400000US20,34.8
2014,0400000US20,33.8
2015,0400000US20,34.8
2016,0400000US20,36.8
2017,0400000US20,0.0
2000,0400000US06,0.0
2001,0400000US06,0.0
2002,0400000US06,0.0
2003,0400000US06,0.0
2004,0400000US06,0.0
2005,0400000US06,34.7
2006,0400000US06,35.5
2007,0400000US06,36.1
2008,0400000US06,36.8
2009,0400000US06,38.1
2010,0400000US06,38.6
2011,0400000US06,38.7
2012,0400000US06,37.7
2013,0400000US06,38.4
2014,0400000US06,37.8
2015,0400000US06,38.9
2016,0400000US06,39.0
2017,0400000US06,0.0
2000,0400000US18,0.0
2001,0400000US18,0.0
2002,0400000US18,0.0
2003,0400000US18,0.0
2004,0400000US18,0.0
2005,0400000US18,33.1
2006,0400000US18,35.0
2007,0400000US18,34.8
2008,0400000US18,35.2
2009,0400000US18,34.7
2010,0400000US18,35.2
2011,0400000US18,34.1
2012,0400000US18,34.5
2013,0400000US18,38.2
2014,0400000US18,37.9
2015,0400000US18,39.4
2016,0400000US18,36.8
2017,0400000US18,0.0
2000,0400000US45,0.0
2001,0400000US45,0.0
2002,0400000US45,0.0
2003,0400000US45,0.0
2004,0400000US45,0.0
2005,0400000US45,34.6
2006,0400000US45,35.2
2007,0400000US45,37.7
2008,0400000US45,36.1
2009,0400000US45,37.4
2010,0400000US45,40.8
2011,0400000US45,38.6
2012,0400000US45,37.3
2013,0400000US45,37.6
2014,0400000US45,38.3
2015,0400000US45,41.4
2016,0400000US45,39.2
2017,0400000US45,0.0
2000,0400000US39,0.0
2001,0400000US39,0.0
